company_name, id, domain, naics
"GrubHub Inc", 4f898566cb5232dfd2e9fecbc3cd7e28, 362180-app5.grubhub.com, 541512
"Rand North America Inc", a3c967dd916f98f6344a15be2d9f48c6, 3ds.com, 511210
"407 ETR", dcd570b35767a1de9ddb69feb7ec10b7, 407etr.com, 488490
"Chase Retail", 388e6c9c3067b8384a660e77b4a92378, 500fast-cash.com, 711219
"JP Morgan Chase", 6c1048e3fcf890e5b71b5a846fb1fe07, 500fast-cash.com, 522110
"ETIS", 71413d8ced0df5badf3c0db20b14838a, 500fast-cash.com, 511110
"Chase", cd8e7918010a87cc619849e00265c9a6, 500fast-cash.com, 522110
"Ford Media", e4ace5ba38d0729e9d3fc774c712ddf1, 500fast-cash.com, 541810
"Denny's Corporation", 811b11d8e7fade7d0af1ea6e8f2db4ba, 50state.dennys.com, 722511
"Chase Retail", 388e6c9c3067b8384a660e77b4a92378, 529.jpmorgan.com, 711219
"JP Morgan Chase", 6c1048e3fcf890e5b71b5a846fb1fe07, 529.jpmorgan.com, 522110
"Chase", cd8e7918010a87cc619849e00265c9a6, 529.jpmorgan.com, 522110
"Warnaco", 32a003abbdbde139d0a0fd457cb8e92c, 5ab7c.capitalistco-op.com, 315240
"Software Research Inc", 45376342bfd5f3fded4713e83256a436, 5g-soft.com, 541511
"The Princeton Review Inc", 18c63f6f85c5190e287d7ba09a53d306, 5stars-review.com, 611691
"Princeton Review", 71096d8a4fc8f55ee64439367fb9aaf2, 5stars-review.com, 611691
"FASTWEB S.p.A.", 306b06223dccb0955bcaef38cd1c5da4, 85-18-163-22.ip.fastwebnet.it, 443142
"Mailbus", f27b1ceaff6e4299d2866dd0a72d2765, 85-18-163-22.ip.fastwebnet.it, 611699
"FASTWEB S.p.A.", 306b06223dccb0955bcaef38cd1c5da4, 85-18-243-133.ip.fastwebnet.it, 443142
"Mailbus", f27b1ceaff6e4299d2866dd0a72d2765, 85-18-243-133.ip.fastwebnet.it, 611699
"Microsoft; Windows Live Hotmail", 62532c5ac0455d26a93aa79f8b9f7a1d, 86-live.com, 511210
"89 Degrees", 6e679cd291afa84e0dff8c86c0a158de, 89degrees.com, 517919
"Central Communications", 7a8ede28f7096a56caa102a3ea2bb53d, 943thex.com, 515112
"99 Cents Only", b5a2b153729f1b22fd58ba40bd46a8d8, 99only.com, 452990
"Heritage Auctions", a9db23bb1c772b1d29cb42c445767d8e, a-ha.com, 561499
"Abansys & Hostytec", 4b856507f2b3cec8f6f97be9e2d4dc6b, a0024.abansys.com, 541330
